GRIDCODE,CVE_ENTCVE_MUN,Fb
627269,8050,0.0015916
627270,8005,0.0025906
627270,8050,0.0003168
627271,8005,0.0015409
627271,8050,0.0026505
627272,8005,0.0003619
627272,8050,0.0052716
627273,8005,0.0007032
627273,8050,0.0040666
627274,8005,0.0026753
627274,8050,0.0000125
627275,8005,0.1399545
627276,8005,0.0026808
627277,8005,0.0027331
627278,8005,0.0011282
627279,8005,0.0011282
627280,8005,0.0011282
627281,8005,0.0011282
627282,8005,0.0011282
627283,8005,0.0011282
627284,8005,0.0027331
627285,8005,0.0011282
627286,8005,0.0011282
627287,8005,0.0019213
627288,8005,0.0011282
627289,8005,0.0011282
627290,8005,0.0011282
627291,8005,0.0012193
627292,8005,0.0012193
627293,8005,0.0009492
627293,8010,0.0004628
627294,8005,0.0004675
627294,8010,0.0012884
627295,8001,0.0000501
627295,8005,0.000495
627295,8010,0.0164186
627296,8001,0.0004034
627296,8005,0.0000311
627296,8010,0.0145619
627297,8001,0.0005508
627297,8010,0.0096571
627298,8001,0.0038611
627299,8001,0.0038611
627300,8001,0.0038461
627301,8001,0.0004261
627302,8001,0.001297
627303,8001,0.0038611
627304,8001,0.0013085
627305,8001,0.0005789
627306,8001,0.0006776
627307,8001,0.0002631
627309,8001,0.0024067
627310,8001,0.0038611
627311,8001,0.0038611
627312,8001,0.0008182
627313,8001,0.0008182
627314,8001,0.0008182
627315,8001,0.0005789
627316,8001,0.0013085
627317,8001,0.0005789
627318,8001,0.0005789
627319,8001,0.0008182
627320,8001,0.0008182
627321,8001,0.0008182
627322,8001,0.0008182
627323,8001,0.0008182
627324,8001,0.0038611
627325,8001,0.0038611
627326,8001,0.0013085
627327,8001,0.0005789
627328,8001,0.0007139
627328,8028,0.0002033
627329,8001,0.0002926
627329,8028,0.001024
627330,8028,0.001594
627331,8028,0.0016716
627332,8028,0.0016716
627333,8028,0.0016716
627334,8028,0.0016716
627335,8028,0.0016716
627336,8028,0.0016716
627337,8028,0.0016716
627338,8028,0.0016716
627339,8028,0.0016716
627340,8028,0.0016716
627341,8028,0.0016716
627342,8028,0.0016716
627343,8028,0.0016716
627344,8028,0.0016716
627345,8028,0.0016716
627346,8028,0.0016716
627347,8028,0.0016716
627348,8028,0.0014283
627349,8028,0.000397
628068,2001,0.0000426
628069,2001,0.0002429
628072,2001,0.0088869
628073,2001,0.0153853
628074,2001,0.0000139
628075,2001,0.0001744
628076,2001,0.000184
628077,2001,0.000184
628078,2001,0.0002718
628079,2001,0.000184
628080,2001,0.000184
628081,2001,0.000184
628082,2001,0.000184
628083,2001,0.000184
628084,2001,0.0002718
628085,2001,0.0002718
628086,2001,0.0002718
628087,2001,0.0002718
628088,2001,0.0002718
628089,2001,0.000184
628090,2001,0.000184
628091,2001,0.000184
628092,2001,0.0002718
628093,2001,0.000184
628094,2001,0.000184
628095,2001,0.000184
628096,2001,0.00057
628097,2001,0.000184
628098,2001,0.000184
628099,2001,0.0002718
628100,2001,0.0002718
628101,2001,0.0002718
628102,2001,0.0002718
628103,2001,0.0002718
628104,2001,0.0002718
628105,2001,0.0002718
628106,2001,0.0002718
628107,2001,0.0002718
628108,2001,0.0002718
628109,2001,0.0002718
628110,2001,0.0002718
628111,2001,0.0002718
628112,2001,0.0002718
628113,2001,0.000046
628164,26017,0.0008566
628165,26017,0.0001033
628168,26017,0.0022448
628169,26017,0.0035663
628170,26017,0.0035663
628171,26017,0.0035663
628172,26017,0.0035663
628173,26017,0.0035663
628174,26017,0.0009658
628175,26017,0.0009658
628176,26017,0.0013246
628177,26017,0.0013246
628178,26017,0.0013246
628179,26017,0.0013246
628180,26017,0.0013246
628181,26017,0.0013246
628182,26017,0.001278
628183,26017,0.0001463
628189,26017,0.0000207
628190,26017,0
628192,26017,0.0362741
628193,26017,0.0012304
628194,26017,0.0004622
628194,26047,0.000724
628195,26047,0.0001797
628196,26047,0.0006606
628197,26047,0.0000622
628198,26047,0.0000081
628199,26004,0.0000566
628199,26047,0.0004876
628200,26004,0.0013937
628200,26047,0.0002669
628201,26004,0.0082255
628202,26004,0.0010779
628203,26004,0.0027561
628204,26004,0.0027508
628204,26046,0.0001374
628205,26004,0.0007506
628205,26046,0.0080695
628206,26046,0.0100695
628207,26046,0.0110461
628208,26046,0.0110461
628209,26046,0.0110461
628210,26046,0.0110461
628211,26046,0.0110461
628212,26046,0.0110461
628213,26007,0.0001907
628213,26046,0.0109589
628213,26065,0.0000155
628214,26007,0.0106819
628214,26046,0.0004899
628214,26065,0.0047387
628215,26007,0.0000884
628215,26065,0.0075162
628216,26065,0.0041588
628217,26065,0.0072847
628218,26065,0.0075365
628219,26065,0.0075365
628220,26065,0.0075365
628221,26058,0.0028105
628221,26065,0.0052044
628222,26036,0.0178836
628222,26058,0.0063089
628222,26065,0.0000357
628223,26036,0.0084846
628223,26058,0.0064171
628224,26036,0.0279135
628224,26058,0.0003134
628225,26036,0.0103128
628226,26036,0.0103128
628227,26036,0.0126279
628228,26036,0.0126279
628229,26035,0.0010576
628229,26036,0.0109709
628230,26035,0.0047186
628230,26036,0.005235
628231,26035,0.0068378
628231,26036,0.0019148
628232,26035,0.004624
628232,26036,0.0000145
628233,26035,0.0078368
628234,26035,0.00806
628235,26035,0.0055983
628235,26036,0.0031551
628236,26035,0.0037309
628236,26036,0.0015944
628237,26035,0.0044118
628238,26035,0.0044118
628239,26035,0.00806
628240,26035,0.00806
628241,26035,0.0044118
628242,26035,0.0044118
628243,26035,0.0097472
628244,26035,0.0097472
628245,26035,0.0097472
628246,26035,0.0097472
628247,26006,0.0005666
628247,26035,0.0093462
628248,26006,0.0030572
628248,26035,0.000962
628249,26006,0.0033338
628249,26019,0.0001094
628250,26006,0.0031158
628250,26019,0.0006014
628251,26006,0.0017061
628251,26019,0.0008647
628252,26006,0.0033389
628252,26019,0.0016464
628253,26006,0.0030272
628253,26019,0.0013617
628254,26006,0.0026496
628254,26019,0.0016917
628255,26006,0.0009114
628255,26019,0.0029457
628256,26011,0.0015843
628256,26019,0.0031643
628257,26011,0.005029
628257,26019,0.0013309
628258,26011,0.0075296
628259,26011,0.0075296
628260,26011,0.007431
628261,26011,0.0075296
628262,26011,0.0097958
628263,26011,0.0097958
628264,26011,0.0097958
628265,26011,0.0075296
628266,26011,0.0017687
628266,26027,0.0173285
628267,26027,0.0047032
628268,26027,0.0047032
628269,26027,0.0059358
628270,26027,0.0059358
